,Image,F1,Jaccard,Recall,Precision
0,833.png,0.9222222222222222,0.8556701030927835,0.8767605633802817,0.97265625
1,2069.png,0.8727615457115928,0.774247491638796,0.9851063829787234,0.7834179357021996
2,3038.png,0.8201193520886616,0.6950867052023122,0.7492211838006231,0.9058380414312618
3,1169.png,0.9523809523809524,0.9090909090909091,0.915948275862069,0.9918319719953326
4,501.png,0.963944076526858,0.9303977272727273,0.9646539027982327,0.9632352941176471
5,31.png,0.9624542124542125,0.9276257722859664,0.9309123117803366,0.9962085308056872
6,2242.png,0.9125670319421778,0.8391938250428816,0.9431325301204819,0.8839205058717254
7,1014.png,0.9267515923566879,0.8635014836795252,0.8635014836795252,1.0
8,1322.png,0.8555240793201134,0.7475247524752475,0.798941798941799,0.9207317073170732
9,1779.png,0.9134734239802225,0.8407281001137656,0.9698162729658792,0.8633177570093458
10,1217.png,0.9393468118195957,0.8856304985337243,0.967948717948718,0.9123867069486404
11,1956.png,0.8933419521654815,0.8072429906542056,0.8072429906542056,1.0
12,108.png,0.956949569495695,0.9174528301886793,0.9187529522909778,0.9984599589322382
13,1258.png,0.9541595925297113,0.9123376623376623,0.95578231292517,0.9525423728813559
14,571.png,0.9680715197956576,0.9381188118811881,0.9427860696517413,0.994750656167979
15,1888.png,0.0,0.0,0.0,0.0
16,35.png,0.9098712446351931,0.8346456692913385,0.8617886178861789,0.9636363636363636
17,2162.png,0.9342046635972078,0.8765328874024526,0.9538974825599029,0.9153084982537835
18,2582.png,0.9499527856468367,0.9046762589928058,0.970106075216972,0.9306197964847364
19,1279.png,0.0,0.0,0.0,0.0
20,749.png,0.8905923344947736,0.8027638190954773,0.9498327759197325,0.8383076418497868
21,2122.png,0.0,0.0,0.0,0.0
22,2928.png,0.8831512744124462,0.7907528156490812,0.8437697659709045,0.9263888888888889
23,74.png,0.9696415508412582,0.9410720624778133,0.9895483389324374,0.9505198996055934
24,788.png,0.8699388100507747,0.7698156682027649,0.7911437366800852,0.9661654135338346
25,707.png,0.9776186213070724,0.9562171628721541,0.9758713136729222,0.979372197309417
26,1678.png,0.9538152610441767,0.9117082533589251,0.9368836291913215,0.9713701431492843
27,909.png,0.8978067004097373,0.8145637437130986,0.8174237436910248,0.995723068698209
28,218.png,0.8351254480286738,0.7169230769230769,0.9789915966386554,0.728125
29,2046.png,0.9326386304428731,0.8737796373779637,0.8988522238163558,0.9690641918020109
30,3.png,0.9695479477964819,0.9408957415565345,0.9664404223227753,0.9726755218216319
31,1270.png,0.3195266272189349,0.19014084507042253,0.25471698113207547,0.42857142857142855
32,573.png,0.9429250891795481,0.8920134983127109,0.987546699875467,0.9021615472127418
33,861.png,0.6404465212876428,0.4710712239831965,0.47561210719105457,0.9801350814461661
34,2463.png,0.2700702922678505,0.15611633875106928,1.0,0.15611633875106928
35,1326.png,0.8307692307692307,0.7105263157894737,0.7297297297297297,0.9642857142857143
36,528.png,0.9732824427480916,0.9479553903345725,0.9909326424870466,0.95625
37,461.png,0.8521229868228404,0.7423469387755102,0.8314285714285714,0.8738738738738738
38,803.png,0.7151602448685632,0.5566143497757847,0.5769901220220802,0.9403409090909091
39,1392.png,0.955575702629193,0.9149305555555556,0.956442831215971,0.9547101449275363
40,298.png,0.3374233128834356,0.2029520295202952,0.2029520295202952,1.0
41,3005.png,0.8862453531598513,0.7957276368491322,0.8751835535976505,0.8975903614457831
42,1239.png,0.9311639549436795,0.8711943793911007,0.9489795918367347,0.914004914004914
43,2839.png,0.0,0.0,0.0,0.0
44,2605.png,0.7925856405443454,0.6564321803342402,0.9607508532423208,0.674520766773163
45,1529.png,0.9406307977736549,0.8879159369527145,0.9638783269961977,0.9184782608695652
46,574.png,0.7140243902439024,0.555239449976292,0.9965957446808511,0.5562945368171022
47,2574.png,0.9310810810810811,0.8710493046776233,0.9470790378006873,0.9156146179401994
48,1702.png,0.9204545454545454,0.8526315789473684,0.9878048780487805,0.8617021276595744
49,1732.png,0.936697653829128,0.880932556203164,0.9924953095684803,0.8868398994132439
50,1266.png,0.024096385542168676,0.012195121951219513,0.012195121951219513,1.0
51,1808.png,0.7221702525724977,0.5651537335285505,1.0,0.5651537335285505
52,1085.png,0.6507713884992987,0.48232848232848236,0.48535564853556484,0.9872340425531915
53,653.png,0.9767174475423972,0.9544943820224719,0.9820809248554914,0.9714122355631789
54,2791.png,0.5115653577192039,0.3436935308998916,0.3703271028037383,0.8269565217391305
55,1187.png,0.9515738498789346,0.9076212471131639,0.91112828438949,0.995777027027027
56,2744.png,0.8532061473237944,0.743992606284658,0.8333333333333334,0.8740499457111836
57,1023.png,0.896592946802152,0.8125677139761647,0.8143322475570033,0.9973404255319149
58,1667.png,0.787878787878788,0.65,0.65,1.0
59,904.png,0.9538142189932538,0.9117063492063492,0.9956663055254604,0.9153386454183267
60,701.png,0.9505703422053232,0.9057971014492754,0.919869174161897,0.9833916083916084
61,381.png,0.8968609865470852,0.8130081300813008,0.9615384615384616,0.8403361344537815
62,478.png,0.20392156862745098,0.11353711790393013,0.11353711790393013,1.0
63,1354.png,0.9540448157994683,0.9121278140885984,0.9617151607963247,0.9464958553127355
64,2701.png,0.9618585298196949,0.9265197060788243,0.9302481556002683,0.9956927494615937
65,1689.png,0.8917378917378918,0.8046272493573264,0.9219440353460973,0.863448275862069
66,2672.png,0.9018895348837209,0.8213103904698875,0.8385135135135136,0.97562893081761
67,2524.png,0.5949625595643295,0.42344961240310075,0.7775800711743772,0.48180815876515987
68,2026.png,0.0,0.0,0.0,0.0
69,2356.png,0.8678500986193294,0.7665505226480837,0.9431939978563773,0.8036529680365296
70,527.png,0.9137148047229792,0.8411371237458194,0.9940711462450593,0.8453781512605042
71,1142.png,0.8175519630484989,0.69140625,1.0,0.69140625
72,1562.png,0.8649425287356323,0.7620253164556962,0.9933993399339934,0.7659033078880407
73,1668.png,0.943089430894309,0.8923076923076924,0.9157894736842105,0.9720670391061452
74,1837.png,0.965150620200827,0.932648401826484,0.9831528279181708,0.9477958236658933
75,294.png,0.9422092172640819,0.8907330567081605,0.898186889818689,0.9907692307692307
76,2157.png,0.7276887871853547,0.5719424460431655,0.5719424460431655,1.0
77,2528.png,0.8293122886133033,0.7083975346687211,0.9735309687665431,0.7223095051060487
78,2527.png,0.7871125611745515,0.6489576328177539,0.6551255940257977,0.9856996935648621
79,2075.png,0.7894030032963008,0.6520774505849133,0.7339387060158911,0.8539355520338088
80,2322.png,0.8161559888579387,0.6894117647058824,0.6894117647058824,1.0
81,3034.png,0.8720806794055201,0.7731764705882352,0.7740871613663133,0.9984807049529019
82,1851.png,0.8287037037037037,0.7075098814229249,0.8111782477341389,0.8470031545741324
83,676.png,0.9687255668491009,0.9393479909021987,0.9472477064220184,0.9912
84,1818.png,0.8864628820960699,0.796078431372549,0.9419953596287703,0.8371134020618557
85,2906.png,0.0,0.0,0.0,0.0
86,1840.png,0.8368794326241135,0.7195121951219512,0.9957805907172996,0.7217125382262997
87,560.png,0.5773672055427251,0.40584415584415584,0.4065040650406504,0.9960159362549801
88,1337.png,0.9017341040462427,0.8210526315789474,0.9915254237288136,0.8268551236749117
89,1384.png,0.8611464968152865,0.756152125279642,0.9970501474926253,0.757847533632287
90,2936.png,0.9165754324501861,0.8459983831851253,0.9583333333333334,0.878304657994125
91,1579.png,0.9524551831644583,0.9092261904761905,0.9729299363057324,0.932824427480916
92,678.png,0.9691629955947136,0.9401709401709402,0.9445745511319282,0.9950657894736842
93,555.png,0.9722488038277513,0.9459962756052142,0.9621212121212122,0.9825918762088974
94,1885.png,0.8364312267657993,0.7188498402555911,0.9574468085106383,0.7425742574257426
95,2471.png,0.5332512315270935,0.3635600335852225,1.0,0.3635600335852225
96,1769.png,0.9634727368978296,0.9295199182839632,0.9430051813471503,0.9848484848484849
97,1720.png,0.8333333333333334,0.7142857142857143,0.7377049180327869,0.9574468085106383
98,2465.png,0.7726432532347504,0.6295180722891566,0.999203187250996,0.6298342541436464
99,2255.png,0.3853278992219341,0.23864157870582836,0.24118738404452691,0.9576427255985267
100,1960.png,0.0,0.0,0.0,0.0
101,21.png,0.9483660130718954,0.9018023617153511,0.9870748299319728,0.9125786163522013
102,26.png,0.9354005167958657,0.8786407766990292,0.9783783783783784,0.8960396039603961
103,2405.png,0.9014778325123153,0.820627802690583,0.8402203856749312,0.9723698193411264
104,335.png,0.9017199017199016,0.8210290827740492,0.8398169336384439,0.9734748010610079
105,893.png,0.9331872946330778,0.8747433264887063,0.9487750556792873,0.9181034482758621
106,2606.png,0.7619047619047619,0.6153846153846154,0.8393686165273909,0.6975308641975309
107,11.png,0.9642172523961661,0.9309068476249229,0.9785992217898832,0.9502518891687658
108,2980.png,0.9539260220635951,0.9119106699751861,0.9210526315789473,0.9892328398384926
109,3011.png,0.225,0.1267605633802817,0.13533834586466165,0.6666666666666666
110,717.png,0.7042801556420233,0.5435435435435435,0.5581251927227875,0.9541381128096995
111,277.png,0.9858446052217679,0.9720843672456576,0.9880201765447667,0.9836785938480854
112,2979.png,0.9537095751426761,0.9115151515151515,0.9330024813895782,0.9753566796368353
113,2275.png,0.8934147997284454,0.807361963190184,0.8329113924050633,0.9633967789165446
114,1866.png,0.5135834411384217,0.34551784160139254,0.34551784160139254,1.0
115,1344.png,0.940032414910859,0.8868501529051988,0.9415584415584416,0.9385113268608414
116,2137.png,0.7419505366308913,0.5897626112759644,0.6812339331619537,0.8145491803278688
117,2072.png,0.47283763277693475,0.30961844197138316,0.6427392739273927,0.3739798367738838
118,1137.png,0.9166666666666666,0.8461538461538461,0.8536155202821869,0.9897750511247444
119,1906.png,0.9501713683100449,0.9050728277247614,0.9375650364203955,0.963121325494388
120,1495.png,0.9510901591043017,0.9067415730337078,0.9471830985915493,0.9550295857988166
121,694.png,0.8682766190998903,0.7672162948593598,0.9009111617312073,0.8379237288135594
122,336.png,0.9696969696969696,0.9411764705882353,0.9520426287744227,0.9880184331797235
123,1560.png,0.9461206896551724,0.8977505112474438,0.9865168539325843,0.9089026915113871
124,1546.png,0.9528067560854446,0.9098671726755219,0.9927536231884058,0.9159503342884432
125,1969.png,0.7428571428571428,0.5909090909090909,0.9894613583138173,0.5946516537649542
126,2459.png,0.9477051015512554,0.9006079027355623,0.951814969482814,0.9436305732484076
127,587.png,0.9760225669957687,0.953168044077135,0.9624478442280946,0.9899856938483548
128,2662.png,0.7295423023578363,0.574235807860262,0.6296887470071828,0.8670329670329671
129,2930.png,0.8063725490196078,0.675564681724846,0.9989878542510121,0.6760273972602739
130,943.png,0.9321382842509603,0.8729016786570744,0.883495145631068,0.986449864498645
131,1794.png,0.9313432835820896,0.8715083798882681,0.8813559322033898,0.9873417721518988
132,3043.png,0.38026521060842433,0.2347700457500602,0.9587020648967551,0.2371685721235709
133,2380.png,0.8959112959112959,0.8114486567913632,0.8314895806534602,0.9711538461538461
134,126.png,0.9489539748953975,0.9028662420382165,0.984375,0.9159935379644588
135,1147.png,0.92,0.8518518518518519,0.9604395604395605,0.8828282828282829
136,1883.png,0.9542319749216301,0.9124700239808153,0.938347718865598,0.9706632653061225
137,2176.png,0.8693076638282118,0.7688277668631304,0.9222309505106049,0.8221288515406162
138,2304.png,0.7869634340222574,0.6487549148099607,0.650032829940906,0.9969788519637462
139,369.png,0.9138755980861243,0.8414096916299559,0.8565022421524664,0.9794871794871794
140,2228.png,0.7527216174183514,0.6034912718204489,0.6453333333333333,0.9029850746268657
141,2114.png,0.9249563699825479,0.8603896103896104,0.9984928409947249,0.8615084525357607
142,451.png,0.9539748953974896,0.912,0.912,1.0
143,1916.png,0.6386967194822584,0.46918032786885244,0.46918032786885244,1.0
144,2349.png,0.6290322580645161,0.4588235294117647,0.46987951807228917,0.9512195121951219
145,2530.png,0.5456716417910448,0.37520525451559933,0.8102836879432624,0.41134113411341133
146,1419.png,0.954041204437401,0.9121212121212121,0.9804560260586319,0.9290123456790124
147,86.png,0.9344978165938865,0.8770491803278688,0.9290882778581766,0.9399707174231332
148,2725.png,0.885917258671124,0.795198799699925,0.9451627284886313,0.8336610302791978
