epoch,dice_coef,loss,lr,val_dice_coef,val_loss
0,0.13416999578475952,0.8658299446105957,1e-04,0.03452940657734871,0.9654379487037659
1,0.2640005052089691,0.7359995245933533,1e-04,0.017694080248475075,0.9823251366615295
2,0.3486049771308899,0.6513950228691101,1e-04,0.060875169932842255,0.9400724768638611
3,0.4324827492237091,0.5675172209739685,1e-04,0.21449939906597137,0.7833770513534546
4,0.49889466166496277,0.5011053085327148,1e-04,0.39282292127609253,0.6082646250724792
5,0.575069785118103,0.42493006587028503,1e-04,0.4523577094078064,0.5427420735359192
6,0.6245343685150146,0.3754657208919525,1e-04,0.5004805326461792,0.5000911951065063
7,0.6735712289810181,0.32642871141433716,1e-04,0.6386648416519165,0.3588000237941742
8,0.700211763381958,0.2997881770133972,1e-04,0.5538393259048462,0.4416390359401703
9,0.7279927730560303,0.2720071077346802,1e-04,0.6216004490852356,0.3701590597629547
10,0.7553849220275879,0.24461524188518524,1e-04,0.6374461054801941,0.36241477727890015
11,0.7633571028709412,0.23664303123950958,1e-04,0.7115903496742249,0.28926560282707214
12,0.7854039669036865,0.21459615230560303,1e-04,0.7332462668418884,0.26500919461250305
13,0.8054875731468201,0.19451263546943665,1e-04,0.6457706093788147,0.348521888256073
14,0.8108698725700378,0.18913006782531738,1e-04,0.7292263507843018,0.2707984149456024
15,0.8306018114089966,0.1693979948759079,1e-04,0.7450531125068665,0.2545236647129059
16,0.8473579287528992,0.15264199674129486,1e-04,0.7467683553695679,0.25377485156059265
17,0.8402276635169983,0.15977217257022858,1e-04,0.7131650447845459,0.2858438789844513
18,0.8508948683738708,0.14910532534122467,1e-04,0.771767795085907,0.22700148820877075
19,0.8604068756103516,0.1395932137966156,1e-04,0.7552210688591003,0.2438696324825287
20,0.8728284239768982,0.12717154622077942,1e-04,0.7741625308990479,0.22374022006988525
21,0.8787511587142944,0.12124910950660706,1e-04,0.7854192852973938,0.21324098110198975
22,0.8794868588447571,0.12051306664943695,1e-04,0.7678066492080688,0.23134376108646393
23,0.8798468708992004,0.12015315890312195,1e-04,0.7653060555458069,0.2334914356470108
24,0.8870382308959961,0.1129617914557457,1e-04,0.787217915058136,0.21151554584503174
25,0.8967961072921753,0.1032039076089859,1e-04,0.7843872308731079,0.2143564671278
26,0.9027367830276489,0.09726326167583466,1e-04,0.8004612326622009,0.19790799915790558
27,0.902782678604126,0.09721744060516357,1e-04,0.784943699836731,0.21483838558197021
28,0.9045954942703247,0.09540441632270813,1e-04,0.7741212248802185,0.22408342361450195
29,0.8890290856361389,0.11097108572721481,1e-04,0.7273403406143188,0.2678332030773163
30,0.8945953249931335,0.10540465265512466,1e-04,0.7832584977149963,0.2192411720752716
31,0.8875542879104614,0.1124456524848938,1e-04,0.7335982322692871,0.26559028029441833
32,0.9072253108024597,0.09277456253767014,1e-05,0.8092241287231445,0.18992914259433746
33,0.9162754416465759,0.08372452110052109,1e-05,0.8123674988746643,0.1866995394229889
34,0.9193592667579651,0.08064095675945282,1e-05,0.8138018250465393,0.18516099452972412
35,0.9216760993003845,0.07832377403974533,1e-05,0.814256489276886,0.18468402326107025
36,0.9235435724258423,0.07645663619041443,1e-05,0.8144122362136841,0.18448004126548767
37,0.9253833889961243,0.0746167004108429,1e-05,0.8149183988571167,0.18395912647247314
38,0.9268364906311035,0.07316342741250992,1e-05,0.8145942687988281,0.18426847457885742
39,0.9281917214393616,0.07180845737457275,1e-05,0.815734326839447,0.1831504851579666
40,0.9294889569282532,0.07051099836826324,1e-05,0.8155273795127869,0.1832917183637619
41,0.9306786060333252,0.0693214163184166,1e-05,0.815790593624115,0.1829785704612732
42,0.9318426251411438,0.06815728545188904,1e-05,0.8153301477432251,0.18348805606365204
43,0.9328990578651428,0.06710095703601837,1e-05,0.8156201839447021,0.1831296980381012
44,0.9340105652809143,0.06598950922489166,1e-05,0.8154420852661133,0.1833464503288269
45,0.9351347088813782,0.06486520916223526,1e-05,0.8160699009895325,0.18272873759269714
46,0.936210572719574,0.06378959864377975,1e-05,0.814285159111023,0.18446382880210876
47,0.937334418296814,0.06266554445028305,1e-05,0.8149273991584778,0.18374095857143402
48,0.9384681582450867,0.06153206527233124,1e-05,0.8154227137565613,0.18323393166065216
49,0.9394159913063049,0.06058413162827492,1e-05,0.8146699070930481,0.18402312695980072
50,0.9405088424682617,0.05949130281805992,1e-05,0.8155084252357483,0.1831991970539093
51,0.9416691064834595,0.05833084508776665,1e-06,0.8125519752502441,0.18598443269729614
52,0.9419695734977722,0.058030568063259125,1e-06,0.8126632571220398,0.18593420088291168
53,0.9422376155853271,0.057762403041124344,1e-06,0.8125646114349365,0.18604792654514313
54,0.9424694776535034,0.05753013491630554,1e-06,0.8124927282333374,0.18612651526927948
55,0.9426780343055725,0.057321906089782715,1e-06,0.8123734593391418,0.1862495243549347
56,0.942836344242096,0.05716386437416077,1e-07,0.8130382895469666,0.18562942743301392
57,0.9429334402084351,0.05706654116511345,1e-07,0.8132920861244202,0.1853923797607422
58,0.9429754018783569,0.057024624198675156,1e-07,0.8133841753005981,0.18530702590942383
